ts,type,plan_index,plan_time_utc,plan_path,action,reason
2026-02-11T09:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T09:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T09:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T09:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T10:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T10:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T10:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T10:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T11:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T11:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T11:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T11:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T12:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T12:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T12:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T12:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T13:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T13:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T13:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T13:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T14:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T14:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T14:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T14:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T15:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T15:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T15:30:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T15:45:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T16:00:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
2026-02-11T16:15:00+00:00,STOP,6,2026-02-10 10:15:00+00:00,,,PLAN_STOP
